id,image_path,category,text,python_code
1,./images/alg_01.jpeg,"Lecture & Écriture","Lire(a)\nAfficher(a)","a = int(input())\nprint(a)"
2,./images/alg_02.jpeg,"Lecture & Écriture","Lire(a)\nLire(b)\nAfficher(a)\nAfficher(b)","a = int(input())\nb = int(input())\nprint(a)\nprint(b)"
3,./images/alg_03.jpeg,"Lecture & Écriture","Lire(x)\nAfficher(""La valeur est :"")\nAfficher(x)","x = int(input())\nprint(""La valeur est :"")\nprint(x)"
4,./images/alg_04.jpeg,"Lecture & Écriture","Lire(nom)\nAfficher(nom)","nom = input()\nprint(nom)"
5,./images/alg_05.jpeg,"Lecture & Écriture","Lire(nom)\nAfficher(""Bonjour"")\nAfficher(nom)","nom = input()\nprint(""Bonjour"")\nprint(nom)"
6,./images/alg_06.jpeg,"Lecture & Écriture","Lire(a)\nLire(b)\nAfficher(a + b)","a = int(input())\nb = int(input())\nprint(a + b)"
7,./images/alg_07.jpeg,"Lecture & Écriture","Lire(n)\nAfficher(n)\nAfficher(n)","n = int(input())\nprint(n)\nprint(n)"
8,./images/alg_08.jpeg,"Lecture & Écriture","Lire(age)\nAfficher(""Votre age est"")\nAfficher(age)","age = int(input())\nprint(""Votre age est"")\nprint(age)"
9,./images/alg_09.jpeg,"Lecture & Écriture","Lire(x)\nAfficher(""Operation terminee"")","x = int(input())\nprint(""Operation terminee"")"
10,./images/alg_010.jpeg,"Lecture & Écriture","Lire(n)\nAfficher(""Le nombre est :"")\nAfficher(n)","n = int(input())\nprint(""Le nombre est :"")\nprint(n)"
11,./images/alg_011.jpeg,"Lecture & Écriture","Lire(a)\nAfficher(""Valeur de a ="")\nAfficher(a)","a = int(input())\nprint(""Valeur de a ="")\nprint(a)"
12,./images/alg_012.jpeg,"Lecture & Écriture","Lire(b)\nAfficher(""b:"")\nAfficher(b)","b = int(input())\nprint(""b:"")\nprint(b)"
13,./images/alg_013.jpeg,"Lecture & Écriture","Lire(x)\nLire(y)\nAfficher(""Somme:"")\nAfficher(x + y)","x = int(input())\ny = int(input())\nprint(""Somme:"")\nprint(x + y)"
14,./images/alg_014.jpeg,"Lecture & Écriture","Lire(x)\nLire(y)\nAfficher(""Difference:"")\nAfficher(x - y)","x = int(input())\ny = int(input())\nprint(""Difference:"")\nprint(x - y)"
15,./images/alg_015.jpeg,"Lecture & Écriture","Lire(x)\nLire(y)\nAfficher(""Produit:"")\nAfficher(x * y)","x = int(input())\ny = int(input())\nprint(""Produit:"")\nprint(x * y)"
16,./images/alg_016.jpeg,"Lecture & Écriture","Lire(x)\nAfficher(""Double:"")\nAfficher(2 * x)","x = int(input())\nprint(""Double:"")\nprint(2 * x)"
17,./images/alg_017.jpeg,"Lecture & Écriture","Lire(x)\nAfficher(""Carre:"")\nAfficher(x * x)","x = int(input())\nprint(""Carre:"")\nprint(x * x)"
18,./images/alg_018.jpeg,"Lecture & Écriture","Lire(a)\nLire(b)\nAfficher(""Moyenne:"")\nAfficher((a + b) / 2)","a = int(input())\nb = int(input())\nprint(""Moyenne:"")\nprint((a + b) / 2)"
19,./images/alg_019.jpeg,"Lecture & Écriture","Lire(prenom)\nLire(nom)\nAfficher(prenom)\nAfficher(nom)","prenom = input()\nnom = input()\nprint(prenom)\nprint(nom)"
20,./images/alg_020.jpeg,"Lecture & Écriture","Lire(message)\nAfficher(""Vous avez ecrit:"")\nAfficher(message)","message = input()\nprint(""Vous avez ecrit:"")\nprint(message)"
21,./images/alg_021.jpeg,"Lecture & Écriture","Lire(a)\nLire(b)\nLire(c)\nAfficher(a)\nAfficher(b)\nAfficher(c)","a = int(input())\nb = int(input())\nc = int(input())\nprint(a)\nprint(b)\nprint(c)"
22,./images/alg_022.jpeg,"Lecture & Écriture","Lire(a)\nLire(b)\nLire(c)\nAfficher(""Somme:"")\nAfficher(a + b + c)","a = int(input())\nb = int(input())\nc = int(input())\nprint(""Somme:"")\nprint(a + b + c)"
23,./images/alg_023.jpeg,"Lecture & Écriture","Lire(a)\nLire(b)\nAfficher(""Moyenne:"")\nAfficher((a + b) / 2)","a = int(input())\nb = int(input())\nprint(""Moyenne:"")\nprint((a + b) / 2)"
24,./images/alg_024.jpeg,"Lecture & Écriture","Lire(a)\nLire(b)\nAfficher(""Resultat:"")\nAfficher((a + b) * 2)","a = int(input())\nb = int(input())\nprint(""Resultat:"")\nprint((a + b) * 2)"
25,./images/alg_025.jpeg,"Lecture & Écriture","Lire(x)\nAfficher(""Avant:"")\nAfficher(x)\nAfficher(""Apres:"")\nAfficher(x + 1)","x = int(input())\nprint(""Avant:"")\nprint(x)\nprint(""Apres:"")\nprint(x + 1)"
26,./images/alg_026.jpg,"Lecture & Écriture","Lire(x)\nAfficher(""Precedent:"")\nAfficher(x - 1)","x = int(input())\nprint(""Precedent:"")\nprint(x - 1)"
27,./images/alg_027.jpg,"Lecture & Écriture","Lire(x)\nAfficher(""x + 10 ="")\nAfficher(x + 10)","x = int(input())\nprint(""x + 10 ="")\nprint(x + 10)"
28,./images/alg_028.jpg,"Lecture & Écriture","Lire(x)\nAfficher(""x - 5 ="")\nAfficher(x - 5)","x = int(input())\nprint(""x - 5 ="")\nprint(x - 5)"
29,./images/alg_029.jpg,"Lecture & Écriture","Lire(x)\nAfficher(""x * 4 ="")\nAfficher(x * 4)","x = int(input())\nprint(""x * 4 ="")\nprint(x * 4)"
